zoo,scientificName,commonName,givenName,gender,dateOfBirth,age,isTransportable
Tuofeng,Merops sp.,Bee-eater (unidentified),Southern tamandua,Male,11/12/2023,5,true
Combita,Sarkidornis melanotos,Knob-nosed goose,"Fowl, helmeted guinea",Female,8/23/2023,10,true
Bafia,Mellivora capensis,"Badger, honey","Insect, stick",Female,4/11/2024,26,true
Solok Timur,Mungos mungo,"Mongoose, banded","Goose, andean",Female,12/5/2023,7,false
Río Campo,Diceros bicornis,"Rhinoceros, black",Vervet monkey,Male,7/14/2022,9,true
Shah Alam,Pteronura brasiliensis,Brazilian otter,"Pie, indian tree",Female,1/31/2024,2,true
Aurora,Bubalus arnee,"Buffalo, wild water",Galapagos dove,Female,9/7/2022,14,true
Conduaga,Dasypus septemcincus,Seven-banded armadillo,"Rhea, gray",Female,7/4/2022,20,false
Pitogo,Hippotragus equinus,Roan antelope,"Cormorant, large",Male,10/12/2022,24,true
Freiburg im Breisgau,Spermophilus tridecemlineatus,"Squirrel, thirteen-lined",Serval,Male,2/12/2024,16,true
Silihe,Trichosurus vulpecula,"Possum, common brushtail","Stork, greater adjutant",Male,1/3/2024,19,true
Bojongbenteng,Lepus townsendii,"Jackrabbit, white-tailed",Yellow baboon,Female,3/21/2024,14,false
Esposende,Pelecans onocratalus,Eastern white pelican,Blue-breasted cordon bleu,Male,12/30/2023,4,false
Alukama,Equus burchelli,"Zebra, plains",Frilled lizard,Female,2/12/2024,21,false
Icó,Meleagris gallopavo,"Turkey, wild","Dragon, western bearded",Male,11/24/2022,7,true
San José,Dusicyon thous,"Zorro, common","Peacock, blue",Male,9/14/2023,27,false
Nzeto,Mirounga angustirostris,Northern elephant seal,Amazon parrot (unidentified),Bigender,4/4/2024,12,true
Ruilin,Uraeginthus bengalus,Red-cheeked cordon bleu,"Jackal, silver-backed",Female,12/15/2023,21,true
Xuanhua,unavailable,Cormorant (unidentified),"Stork, greater adjutant",Male,3/22/2023,23,true
Lokot’,Phascogale calura,Red-tailed phascogale,"Duck, mountain",Male,10/3/2022,3,true
Ludvika,Terrapene carolina,"Turtle, eastern box",European stork,Female,1/11/2024,16,false
Minūf,Semnopithecus entellus,"Langur, gray",Australian masked owl,Male,2/1/2023,22,true
Liujiachang,Boselaphus tragocamelus,Nilgai,"Otter, giant",Female,7/31/2023,30,true
La Concepción,Cracticus nigroagularis,Pied butcher bird,"Cormorant, little",Non-binary,9/5/2023,19,false
Jiang’an,Ceryle rudis,"Kingfisher, pied",Aardwolf,Male,2/11/2023,4,false
Желино,Libellula quadrimaculata,Four-spotted skimmer,Crested screamer,Male,12/3/2023,18,false
Pyra,Dusicyon thous,Savanna fox,"Wallaby, red-necked",Female,8/8/2022,19,false
Jönköping,Milvus migrans,"Kite, black",Plains zebra,Female,8/30/2022,3,true
Srbinovo,Diomedea irrorata,Waved albatross,Cape clawless otter,Male,7/6/2022,8,true
Muraloka,Funambulus pennati,Palm squirrel,"Beaver, european",Female,9/25/2023,21,false
Surin,Merops nubicus,Carmine bee-eater,Oriental short-clawed otter,Male,3/21/2023,23,false
Tayug,Acrantophis madagascariensis,"Constrictor, eastern boa",Common duiker,Female,8/7/2022,15,false
Sunne,Ateles paniscus,Black spider monkey,"Goose, snow",Genderqueer,9/19/2022,18,true
Arras,Funambulus pennati,Palm squirrel,"Kangaroo, eastern grey",Female,2/29/2024,11,false
Žiežmariai,Vanessa indica,Indian red admiral,African darter,Bigender,5/6/2023,6,true
Yunmeng Chengguanzhen,Grus rubicundus,Brolga crane,Ring-tailed lemur,Bigender,7/28/2022,10,true
Mawlamyinegyunn,Erinaceus frontalis,"Hedgehog, south african","Bear, sloth",Female,7/9/2022,5,false
Naples,Vulpes vulpes,"Fox, north american red","Shark, blue",Bigender,3/10/2023,1,false
Puconci,Larus dominicanus,Southern black-backed gull,"Goose, cereopsis",Female,2/10/2023,8,true
Boca Raton,Acrobates pygmaeus,"Possum, pygmy","Macaw, blue and yellow",Male,11/22/2023,30,false
Mojokerto,Terrapene carolina,"Turtle, eastern box",Red-billed tropic bird,Male,3/13/2024,10,true
Vientiane,Papilio canadensis,Canadian tiger swallowtail butterfly,Black-throated cardinal,Male,9/23/2023,6,false
Reda,Pavo cristatus,Blue peacock,"Fowl, helmeted guinea",Male,4/11/2023,22,true
Padabeunghar,Lutra canadensis,"Otter, canadian river","Beaver, eurasian",Male,1/3/2023,15,true
Keta,Ovis dalli stonei,"Sheep, stone",Asiatic jackal,Female,9/7/2022,22,false
Zilang,unavailable,Herring gull,Eurasian beaver,Male,11/16/2022,25,true
Mengmeng,Amblyrhynchus cristatus,"Iguana, marine",Greater sage grouse,Male,10/21/2023,10,true
Zapala,Tiliqua scincoides,Blue-tongued lizard,African snake (unidentified),Male,1/13/2023,18,true
Prochnookopskaya,Papio ursinus,Chacma baboon,"Pie, indian tree",Female,3/8/2023,1,false
Pryazha,Hystrix cristata,African porcupine,"Stork, painted",Female,3/12/2024,21,false
Caridade,Larus dominicanus,"Gull, kelp","Rattlesnake, dusky",Female,7/4/2023,9,false
Itigi,Prionace glauca,Blue shark,Steenbuck,Female,9/15/2023,25,true
Basiong,Ara chloroptera,"Macaw, green-winged","Snake, tiger",Male,7/5/2023,29,false
Novyy Urgal,Spermophilus richardsonii,"Squirrel, richardson's ground","Wolf, common",Female,12/2/2022,10,true
Ubonratana,Pteronura brasiliensis,Brazilian otter,Pig-tailed macaque,Female,8/28/2022,29,false
Qarāwul,Felis silvestris lybica,"Cat, kaffir",Clark's nutcracker,Male,3/8/2023,28,false
Yiyang,Bucephala clangula,Common goldeneye,Sociable weaver,Male,11/5/2023,16,true
Dukuhmencek Lor,Columba livia,"Dove, rock","Cormorant, great",Female,9/28/2023,2,false
Kajar,Vulpes vulpes,"Fox, north american red",Gila monster,Male,12/31/2023,4,true
San Francisco,Coendou prehensilis,"Porcupine, tree",Hawk-headed parrot,Female,8/28/2023,23,true
Cuauhtemoc,Sterna paradisaea,Arctic tern,Agouti,Male,12/27/2023,30,true
El Gouna,Buteo galapagoensis,"Hawk, galapagos","Bee-eater, white-fronted",Male,10/24/2023,1,true
Dzhayrakh,Ursus maritimus,Polar bear,Butterfly (unidentified),Male,12/29/2023,26,false
Psáry,Ratufa indica,Indian giant squirrel,Giant girdled lizard,Male,2/22/2023,15,false
Tari,unavailable,Hummingbird (unidentified),Frilled dragon,Male,2/1/2023,12,true
Živinice,Corvus albus,Pied crow,Lesser masked weaver,Genderfluid,11/7/2023,17,false
Piran,Naja nivea,"Cobra, cape","Heron, yellow-crowned night",Male,1/2/2024,23,false
Ar Riqqah,Ardea golieth,Goliath heron,"Robin, white-throated",Male,1/16/2024,9,false
Pudoc,Sarkidornis melanotos,Knob-nosed goose,"Duck, white-faced whistling",Male,4/9/2024,30,true
Nanterre,Raphicerus campestris,Steenbok,Red-tailed wambenger,Agender,9/27/2022,20,false
Žandov,Lamprotornis chalybaeus,"Starling, greater blue-eared","Nutcracker, clark's",Female,12/24/2022,26,false
Romanovskaya,Cebus apella,"Capuchin, black-capped",Red howler monkey,Male,8/13/2023,11,true
Santiago de las Vegas,Acrobates pygmaeus,"Glider, feathertail",Great cormorant,Female,10/2/2023,20,true
Valcheta,Aonyx cinerea,"Otter, small-clawed",Mountain lion,Male,4/12/2024,22,true
Jingmao,Lutra canadensis,"Otter, north american river","Raven, white-necked",Male,1/21/2024,5,false
Sinjil,Lycaon pictus,"Dog, african wild","Loris, slender",Male,6/16/2022,13,true
Bokor,Globicephala melas,"Whale, long-finned pilot",Black-backed magpie,Male,6/22/2022,23,true
Gjoçaj,Otaria flavescens,"Lion, southern sea",Killer whale,Female,7/5/2023,27,true
Mabua,Acrantophis madagascariensis,Eastern boa constrictor,"Squirrel, african bush",Female,11/4/2023,19,true
Ostrov,Erethizon dorsatum,North American porcupine,White spoonbill,Female,7/6/2023,8,false
Lívingston,Sarkidornis melanotos,Knob-nosed goose,Rhesus monkey,Male,3/6/2023,1,false
Ladário,Isoodon obesulus,Southern brown bandicoot,"Barbet, black-collared",Male,5/27/2023,7,false
Chaviña,unavailable,Civet (unidentified),Australian pelican,Male,5/3/2023,26,false
Abay,Trachyphonus vaillantii,"Barbet, levaillant's","Marten, american",Male,5/17/2023,30,true
Taitung City,Ephippiorhynchus mycteria,Black-necked stork,"Jackrabbit, white-tailed",Female,7/3/2022,10,true
Bačka Palanka,Eutamias minimus,"Chipmunk, least",North American red fox,Female,10/3/2023,27,true
Baytā al Fawqā,Terathopius ecaudatus,"Eagle, bateleur",Little cormorant,Female,3/14/2023,25,false
Balaogan,Ursus americanus,"Bear, black",European wild cat,Male,6/21/2023,22,false
Czarków,Laniarius ferrugineus,Southern boubou,"Lion, asian",Female,3/1/2024,17,true
Cikalong,Sagittarius serpentarius,Secretary bird,"Eland, common",Male,10/6/2022,27,false
Łaskarzew,Alopex lagopus,Arctic fox,Praying mantis (unidentified),Male,9/9/2022,15,true
Syracuse,Cracticus nigroagularis,Black-throated butcher bird,Desert spiny lizard,Male,10/23/2023,3,false
Marne-la-Vallée,Castor canadensis,American beaver,African wild dog,Male,11/17/2022,30,false
Kagoro,Haliaetus vocifer,"Eagle, african fish","Heron, gray",Male,9/28/2023,13,false
Yanzhou,Grus rubicundus,"Crane, brolga",Gerbil (unidentified),Female,1/1/2024,17,false
Grenoble,Porphyrio porphyrio,Purple moorhen,Platypus,Male,6/19/2023,7,true
Shchelkovo,unavailable,Civet (unidentified),"Heron, green-backed",Female,6/18/2022,20,false
Maiorca,Chauna torquata,Southern screamer,"Hare, arctic",Female,1/17/2024,23,true
Xitou,Mephitis mephitis,Striped skunk,Mountain goat,Female,8/19/2023,5,false
Jingguan,Toxostoma curvirostre,Curve-billed thrasher,"Jackal, golden",Male,7/29/2023,8,false
Riti,Oryx gazella,Gemsbok,Black-backed jackal,Female,10/16/2022,30,true
San Rafael Arriba,Coracias caudata,"Roller, lilac-breasted",Australian sea lion,Male,7/1/2022,10,false
São José,Ourebia ourebi,Oribi,Canada goose,Male,6/13/2023,29,true
Qiandeng,Cervus elaphus,"Deer, red","Meerkat, red",Male,12/5/2023,13,true
Sebulu,Ursus maritimus,Polar bear,"Polecat, african",Male,1/6/2023,29,false
Xingzi,Sula dactylatra,Blue-faced booby,Nelson ground squirrel,Female,8/2/2023,21,false
Qingu,Stercorarius longicausus,Long-tailed skua,"Duck, white-faced whistling",Female,11/2/2023,4,true
Chechenglu,Gazella thompsonii,"Gazelle, thomson's",White-bellied sea eagle,Male,11/1/2022,2,false
Amherst,Chauna torquata,"Screamer, southern",Eastern fox squirrel,Female,6/16/2022,15,false
Pocohuanca,Spermophilus richardsonii,Richardson's ground squirrel,"Macaw, scarlet",Female,10/10/2022,30,false
Roubaix,Ictonyx striatus,African polecat,"Ibis, puna",Female,12/6/2022,17,true
Marialva,Coluber constrictor,"Racer, american",Crested porcupine,Female,2/3/2024,2,false
Saint-Quentin-en-Yvelines,Macropus giganteus,Eastern grey kangaroo,European spoonbill,Female,4/17/2023,3,false
Den Chai,Cracticus nigroagularis,"Bird, black-throated butcher",Knob-nosed goose,Female,5/10/2023,24,false
Pushkino,Scolopax minor,"Woodcock, american",Oriental short-clawed otter,Non-binary,6/18/2022,13,false
Hongqi,Lutra canadensis,Canadian river otter,Turtle (unidentified),Male,3/21/2024,12,true
Xianyang,Papio cynocephalus,"Baboon, savanna","Lion, steller sea",Female,7/29/2023,30,false
Benito Juarez,unavailable,Gecko (unidentified),"Rhinoceros, square-lipped",Female,7/12/2022,16,true
Panjerrejo,Haliaetus leucogaster,White-bellied sea eagle,African wild dog,Male,4/4/2024,19,true
Turus,Milvus migrans,"Kite, black",Long-billed corella,Female,12/30/2022,25,true
Lípa,Lorythaixoides concolor,"Bird, bare-faced go away",Roseat flamingo,Female,8/17/2023,2,true
Yangjia,unavailable,Turtle (unidentified),Carpet snake,Female,11/21/2023,4,true
Changjiang,Diomedea irrorata,Galapagos albatross,Springbuck,Female,10/22/2022,7,false
Leones,Spizaetus coronatus,"Hawk-eagle, crowned","Insect, stick",Male,7/27/2022,21,true
Vir,Varanus salvator,"Monitor, water",Egyptian cobra,Female,8/17/2022,11,false
Kalininskiy,Cynictis penicillata,Red meerkat,Ground legaan,Female,11/23/2023,5,false
Liloan,Equus burchelli,"Zebra, plains","Squirrel, european red",Male,12/25/2023,10,false
Lekas,Cervus duvauceli,Barasingha deer,Black-necked stork,Male,8/30/2023,4,false
Kuching,Pteropus rufus,Madagascar fruit bat,Steller sea lion,Male,4/4/2024,2,false
Peimei,Nyctea scandiaca,"Owl, snowy","Turkey, australian brush",Male,2/2/2023,7,false
Mbale,Vulpes chama,"Fox, cape","Falcon, peregrine",Female,1/16/2023,23,true
Hisings Kärra,unavailable,Pocket gopher (unidentified),"Skink, blue-tongued",Female,12/26/2022,3,true
Loay,Macropus agilis,"Wallaby, agile",Woodchuck,Male,11/3/2022,8,true
Bendorubuh,Phoenicopterus ruber,"Flamingo, greater",Field flicker,Female,1/29/2023,28,false
Uglich,Paroaria gularis,"Cardinal, black-throated","Stork, marabou",Female,8/17/2022,21,false
Babatngon,Propithecus verreauxi,"Sifaka, verreaux's",Bat-eared fox,Female,8/21/2022,13,false
Villa Paula de Sarmiento,Leipoa ocellata,Malleefowl,"Squirrel, eurasian red",Female,1/11/2023,24,true
Lý Sơn,Felis wiedi or Leopardus weidi,Margay,Black-crowned night heron,Male,1/20/2024,12,false
Weton,Anthropoides paradisea,Blue crane,"Duiker, gray",Male,10/30/2022,1,false
Židlochovice,Larus dominicanus,Southern black-backed gull,Ibex,Male,12/29/2023,22,false
Jimsar,Rangifer tarandus,Caribou,Asiatic jackal,Male,12/8/2022,20,true
Mizusawa,Ceratotherium simum,"Rhinoceros, square-lipped","Owl, great horned",Male,9/4/2022,22,true
Anhua Daying,Passer domesticus,"Sparrow, house",Kongoni,Female,7/2/2023,25,true
Ladhewāla Warāich,Plegadis ridgwayi,"Ibis, puna","Falcon, prairie",Male,1/4/2024,16,false
Biggar,Ceryle rudis,"Kingfisher, pied",Madagascar hawk owl,Male,11/29/2022,23,true
Walakeri,Varanus sp.,Goanna lizard,"Dove, little brown",Male,7/3/2023,30,true
Campos Belos,Picoides pubescens,"Woodpecker, downy",King vulture,Female,11/18/2022,24,false
Charopó,Uraeginthus granatina,Violet-eared waxbill,"Cat, toddy",Male,3/22/2023,14,true
Maturín,Corvus albus,"Crow, pied","Grouse, greater sage",Female,12/18/2022,27,true
Vranje,Chlidonias leucopterus,White-winged tern,Savannah deer,Female,10/17/2022,24,true
Bangbayang Kaler,Eudyptula minor,"Penguin, little blue","Dragon, western bearded",Male,8/9/2022,26,false
Araçuaí,Hymenolaimus malacorhynchus,Mountain duck,Sockeye salmon,Male,7/9/2023,19,false
Perlez,Thalasseus maximus,"Tern, royal","Beaver, north american",Female,7/10/2022,15,false
Žleby,Ara chloroptera,Green-winged macaw,"Seal, southern elephant",Female,6/30/2022,27,false
Aksu,Meleagris gallopavo,"Turkey, wild",Agama lizard (unidentified),Female,2/29/2024,4,false
Standerton,Corythornis cristata,"Kingfisher, malachite",White-faced tree rat,Male,1/22/2023,11,true
Kouzhen,Meles meles,European badger,Springbok,Female,12/11/2023,12,true
San Antonio,Phascogale calura,Red-tailed phascogale,Southern black-backed gull,Female,8/19/2022,23,false
Bundoc,Libellula quadrimaculata,Russian dragonfly,Greater rhea,Female,7/23/2022,11,false
Laotai,Phoenicopterus chilensis,Chilean flamingo,Mocking cliffchat,Male,2/27/2023,24,true
Vilque,Canis latrans,Coyote,"Crane, wattled",Female,3/12/2024,7,true
Bonga,Himantopus himantopus,Black-winged stilt,"Mynah, common",Male,11/13/2022,16,false
Palalang,Macropus rufogriseus,Bennett's wallaby,Green-winged trumpeter,Female,11/16/2022,15,false
La Mohammedia,Perameles nasuta,Long-nosed bandicoot,"Deer, red",Female,10/28/2023,26,false
Farriar,Diomedea irrorata,"Albatross, waved",Malabar squirrel,Female,3/10/2024,29,false
Devesa,Haliaetus leucogaster,"Eagle, white-bellied sea",Small-spotted genet,Female,11/7/2023,10,false
Maoming,Ara macao,Scarlet macaw,Cape raven,Bigender,9/12/2023,21,true
Coasa,Microcebus murinus,"Lemur, grey mouse",Coke's hartebeest,Male,12/2/2022,13,false
Mensalong,Laniaurius atrococcineus,Burchell's gonolek,"Bandicoot, long-nosed",Male,10/19/2023,10,true
Sinarbakti,Damaliscus dorcas,Bontebok,"Owl, madagascar hawk",Female,12/26/2022,21,true
Mococa,Equus burchelli,"Zebra, plains",Land iguana,Male,8/4/2023,14,true
Yanhe,Macropus robustus,Common wallaroo,"Stork, greater adjutant",Male,5/2/2023,18,true
Vykhino-Zhulebino,Fratercula corniculata,"Puffin, horned",Long-billed corella,Male,4/6/2024,16,false
Fenglai,Neotis denhami,"Bustard, stanley",Giant heron,Male,2/4/2023,20,false
Chishan,Macaca nemestrina,"Macaque, pig-tailed","Hen, sage",Female,12/28/2023,3,true
Mayma,Eolophus roseicapillus,Galah,Brush-tailed bettong,Female,7/15/2023,4,true
Herval,Haliaeetus leucoryphus,"Eagle, pallas's fish","Deer, spotted",Female,5/30/2023,8,true
Pieńsk,Varanus sp.,Goanna lizard,Black-cheeked waxbill,Female,3/16/2024,7,false
Yongtai,Cochlearius cochlearius,"Heron, boat-billed",Malay squirrel (unidentified),Agender,7/30/2022,19,false
Longquan,Motacilla aguimp,"Wagtail, african pied",Eastern diamondback rattlesnake,Female,5/20/2023,24,false
Larangan,Irania gutteralis,"Robin, white-throated","Finch, common melba",Male,2/28/2024,18,false
Mingyu,Odocoileus hemionus,"Deer, black-tailed","Cormorant, little",Female,4/8/2023,7,true
James Craik,Morelia spilotes variegata,"Snake, carpet","Badger, european",Male,10/25/2022,26,true
Pingshui,Alcelaphus buselaphus caama,Red hartebeest,Black kite,Genderqueer,3/2/2023,18,true
Paratinga,Dasypus novemcinctus,"Armadillo, nine-banded","Hawk, ferruginous",Female,3/30/2023,29,true
Melíssia,Macropus robustus,Euro wallaby,"Cat, jungle",Male,11/28/2022,6,false
Bera,Limnocorax flavirostra,African black crake,"Stork, jabiru",Male,10/22/2022,22,true
Tandahimba,Phoeniconaias minor,Lesser flamingo,Little brown bat,Female,10/18/2022,17,false
Piancheng,Bubo virginianus,Great horned owl,Arctic hare,Female,8/28/2023,10,true
Kowale,Gazella thompsonii,"Gazelle, thomson's",Cattle egret,Male,3/18/2023,20,false
Shicheng,Dasyprocta leporina,Agouti,"Capuchin, black-capped",Female,11/27/2022,17,true
San Lorenzo,Microcebus murinus,Lesser mouse lemur,Malay squirrel (unidentified),Female,11/6/2023,23,false
Annan,Chlidonias leucopterus,"Tern, white-winged black","Wallaroo, common",Female,7/28/2023,9,true
Pukou,Speotyte cuniculata,Burrowing owl,Brown pelican,Genderqueer,2/9/2023,22,false
Cereté,Ciconia episcopus,"Stork, white-necked",Tawny eagle,Male,11/27/2022,19,true
Brodósqui,Perameles nasuta,Long-nosed bandicoot,Emerald green tree boa,Male,8/21/2022,8,true
Catu,Naja haje,Egyptian viper,Bonnet macaque,Agender,1/19/2023,8,true
Liulin,Laniaurius atrococcineus,Burchell's gonolek,"Dragon, frilled",Female,3/18/2023,10,false
Haputale,Amazona sp.,Amazon parrot (unidentified),"Antelope, sable",Male,7/20/2023,6,false
Ferraz de Vasconcelos,Tapirus terrestris,"Tapir, brazilian","Dragon, komodo",Female,2/16/2024,13,false
Gornyak,Parus atricapillus,Black-capped chickadee,"Wallaby, agile",Polygender,7/29/2023,30,true
Xiashuitou,Cygnus buccinator,"Swan, trumpeter",African darter,Male,11/27/2023,1,true
Borås,Stercorarius longicausus,"Jaeger, long-tailed","Wallaby, whip-tailed",Agender,1/19/2024,5,true
Ryūgasaki,Bison bison,American buffalo,"Dog, bush",Female,10/23/2023,1,false
Tianxin,Tetracerus quadricornis,Four-horned antelope,"Deer, savannah",Female,3/8/2024,21,false
Sulkava,Cynomys ludovicianus,Black-tailed prairie dog,"Trumpeter, dark-winged",Female,11/25/2023,25,true
Shibi,Chordeiles minor,Common nighthawk,Cape Barren goose,Female,9/10/2023,12,false
Taiba,Ovibos moschatus,"Ox, musk",Spotted-tailed quoll,Male,3/7/2023,27,true
Melíssia,Crotalus cerastes,"Rattlesnake, horned","Dove, laughing",Female,11/19/2023,19,true
Pātan,Butorides striatus,"Heron, little",Yellow-crowned night heron,Female,6/3/2023,6,false
Pomichna,Canis aureus,Asiatic jackal,"Oystercatcher, blackish",Female,7/13/2023,8,true
Pegongan,Ourebia ourebi,Oribi,"Vulture, white-rumped",Male,6/14/2022,18,false
Gyumri,Eumetopias jubatus,"Lion, steller sea",Greater adjutant stork,Female,1/18/2024,12,false
Shuiyin,Cordylus giganteus,"Sungazer, yellow-brown",Black-capped capuchin,Female,11/29/2023,1,false
Tianmen,Falco peregrinus,"Falcon, peregrine",Three-banded plover,Female,6/1/2023,2,true
Colonia Mauricio José Troche,Haliaetus leucogaster,"Eagle, white-bellied sea",Blue crane,Male,7/17/2022,4,false
Gaokan,Vulpes vulpes,North American red fox,Black curlew,Male,12/22/2023,6,true
Yashio-shi,Gyps bengalensis,Bengal vulture,"Plover, blacksmith",Male,2/26/2024,29,false
Sigetec,Hymenolaimus malacorhynchus,"Duck, blue",Clark's nutcracker,Genderfluid,9/11/2023,28,true
Jokkmokk,Odocoilenaus virginianus,White-tailed deer,Common brushtail possum,Male,9/21/2022,20,true
Nassarawa,Acridotheres tristis,Indian mynah,Pampa gray fox,Female,11/17/2023,17,false
Fuji,Lemur fulvus,"Lemur, brown",Western bearded dragon,Female,2/29/2024,29,false
Shanguang,Sitta canadensis,"Nuthatch, red-breasted","Dog, raccoon",Male,11/6/2022,14,true
Moengo,Pitangus sulphuratus,"Kiskadee, great",Gaur,Female,8/4/2022,13,true
Belmullet,Pseudocheirus peregrinus,Common ringtail,"Fox, bat-eared",Male,11/30/2023,3,false
Matango,Vanessa indica,Indian red admiral,"Fox, asian red",Female,1/2/2024,26,false
Psachná,unavailable,Ant (unidentified),White-faced tree rat,Male,5/10/2023,21,true
Cullhuas,Pseudoleistes virescens,Brown and yellow marshbird,"Bird, red-billed tropic",Female,3/10/2024,12,true
Carrasqueira,Microcebus murinus,"Lemur, grey mouse",Giraffe,Female,4/22/2023,19,false
Shaxi,Macropus robustus,"Wallaroo, common","Dragonfly, russian",Female,7/6/2022,8,true
Aoqiao,Castor fiber,European beaver,"Weaver, white-browed sparrow",Female,11/27/2022,8,true
Ribeirão Preto,Myiarchus tuberculifer,Tyrant flycatcher,South American meadowlark (unidentified),Male,1/6/2024,15,false
Khryashchevka,Alopex lagopus,Blue fox,Buttermilk snake,Female,1/8/2024,24,false
Jiangqiao,Phalaropus lobatus,"Phalarope, red-necked",Warthog,Female,4/18/2023,10,true
Mātli,Nyctereutes procyonoides,Raccoon dog,"Elephant, asian",Female,3/28/2024,9,true
Bålsta,Aquila chrysaetos,Golden eagle,"Teal, hottentot",Female,10/26/2023,30,true
Tønsberg,Varanus salvator,"Legaan, water","Lizard, collared",Female,10/26/2023,25,true
Arrën,Spermophilus richardsonii,Richardson's ground squirrel,Great egret,Male,12/8/2023,19,false
Zhouzhuang,Paraxerus cepapi,Smith's bush squirrel,Red meerkat,Female,8/20/2023,11,false
Pasirlimus,Oreamnos americanus,Mountain goat,"Owl, burrowing",Female,9/19/2022,28,false
Fuwen,Eudyptula minor,Little blue penguin,"Macaw, scarlet",Male,11/28/2022,11,false
Bagroy,Dusicyon thous,Crab-eating fox,Japanese macaque,Female,10/27/2023,16,true
Batulawang,Buteo galapagoensis,Galapagos hawk,Giant armadillo,Male,11/25/2022,12,false
Nyandoma,Microcebus murinus,Grey mouse lemur,Ferruginous hawk,Male,9/13/2023,7,true
Esquipulas,Larus dominicanus,Southern black-backed gull,Ring-tailed lemur,Female,12/13/2023,22,true
Mulhouse,Lama pacos,Alpaca,Coyote,Female,7/7/2022,11,false
Palapye,Aegypius occipitalis,"Vulture, white-headed",Flightless cormorant,Male,1/23/2024,25,true
Lianghe,Bubulcus ibis,"Egret, cattle",Puma,Female,1/19/2023,18,false
Sampaloc,Pitangus sulphuratus,Great kiskadee,Kongoni,Female,2/24/2023,27,false
Hisya,Galictis vittata,Huron,White-throated robin,Female,6/26/2023,18,false
Nova Petrópolis,Stenella coeruleoalba,"Dolphin, striped","Skua, great",Female,4/14/2024,29,false
Izbicko,Oreamnos americanus,"Goat, mountain","Eagle, golden",Male,3/7/2024,13,false
Xiying,Graspus graspus,Sally lightfoot crab,"Catfish, blue",Female,1/14/2024,8,true
Jidd Ḩafş,Phalaropus lobatus,"Phalarope, red-necked","Toucan, white-throated",Female,2/17/2024,20,true
Pakisaji,Physignathus cocincinus,Asian water dragon,"Gazelle, thomson's",Female,8/13/2023,2,false
Bagombong,Thamnolaea cinnmomeiventris,Mocking cliffchat,"Heron, boat-billed",Genderfluid,10/25/2023,10,true
Nashville,unavailable,Snake (unidentified),"Heron, little",Female,8/29/2023,15,false
Anding,Lybius torquatus,Black-collared barbet,Giant anteater,Male,7/1/2022,5,false
Jatobá,Mirounga leonina,Southern elephant seal,"Heron, black-crowned night",Female,9/20/2022,5,true
Uścimów Stary,Boa caninus,Emerald green tree boa,Darwin ground finch (unidentified),Female,10/22/2023,15,true
Candelaria,Phalaropus fulicarius,Red phalarope,White-tailed jackrabbit,Male,10/11/2022,6,true
Uujim,Calyptorhynchus magnificus,"Cockatoo, red-tailed",Little brown bat,Male,6/25/2022,16,false
Nong Hin,Tadorna tadorna,Common shelduck,European beaver,Male,8/16/2022,7,false
Yelizavetinskoye,Ctenophorus ornatus,"Dragon, ornate rock",Roan antelope,Male,7/20/2022,14,true
Baroh,Cervus canadensis,"Elk, Wapiti","Otter, cape clawless",Male,1/22/2023,6,true
Kočevje,Tachybaptus ruficollis,Dabchick,"Colobus, black and white",Male,6/4/2023,6,false
Saubara,Ephipplorhynchus senegalensis,Saddle-billed stork,Yellow-brown sungazer,Male,9/22/2023,28,true
Synya,Iguana iguana,"Iguana, common green","Deer, roe",Male,8/26/2022,12,false
Maputo,Pandon haliaetus,Osprey,Large-eared bushbaby,Male,11/6/2022,16,false
Panglanjan,Ursus americanus,"Bear, black",Stick insect,Male,11/10/2022,14,true
Pasiripis,Coluber constrictor,Racer snake,"Hornbill, yellow-billed",Male,12/14/2022,11,true
Baturaja,Vulpes cinereoargenteus,Grey fox,Koala,Male,12/26/2023,25,false
Mieszkowice,Hippotragus niger,"Antelope, sable","Baboon, yellow",Female,2/23/2024,3,false
Liuhe,Ursus americanus,American black bear,Eastern boa constrictor,Genderqueer,10/7/2022,17,false
Jinta,Phalacrocorax albiventer,King cormorant,Red-billed buffalo weaver,Female,8/30/2023,29,true
Vänersborg,Neophron percnopterus,"Vulture, egyptian","Iguana, common green",Female,1/23/2023,20,false
Meringkik,Egretta thula,"Egret, snowy",River wallaby,Non-binary,11/14/2022,21,false
Aqtaū,Bucorvus leadbeateri,Leadbeateri's ground hornbill,"Kingfisher, malachite",Male,4/15/2024,27,false
Goroka,Canis aureus,Golden jackal,Marine iguana,Male,12/16/2023,14,true
Jiuxian,Spermophilus armatus,"Squirrel, uinta ground",Red-capped cardinal,Female,8/23/2022,19,true
Skellefteå,Platalea leucordia,White spoonbill,Bald eagle,Male,8/17/2022,4,false
Huallanca,Macaca fuscata,Japanese macaque,"Eagle, white-bellied sea",Male,3/22/2024,29,true
Mingcheng,Dasyurus maculatus,Tiger cat,"Cormorant, great",Bigender,10/2/2022,25,true
Dampit Satu,Ornithorhynchus anatinus,Platypus,Yellow baboon,Female,4/9/2024,2,true
Skorogoszcz,Climacteris melanura,"Creeper, black-tailed tree","Porcupine, prehensile-tailed",Female,2/4/2024,6,true
